,0,1
0,73.96749,3.3837173
1,29.816563,7.5953426
2,16.425228,8.224105
3,-16.257402,2.1351926
4,4.4382925,-20.757854
5,-9.257875,3.383079
6,5.5408607,-26.310654
7,-1.0335581,-23.951235
8,-21.415468,-15.973708
9,-6.9454637,4.0981126
10,28.557463,5.9572024
11,27.096321,5.7955337
12,2.5082886,-24.415274
13,-9.413603,5.5418053
14,-22.76451,-13.895415
15,-11.723253,-0.13891266
16,4.7485967,-23.32224
17,-5.049592,8.70381
18,-6.2849855,2.099727
19,-7.289189,7.5587544
20,18.218111,7.5881763
21,-21.390839,-17.42913
22,27.243822,52.79284
23,3.3674662,-22.796852
24,-7.3997197,-2.9057333
25,-3.336811,6.4101396
26,-4.648172,-10.023996
27,5.710788,-21.990799
28,2.4736717,-22.924334
29,-22.398994,-15.276682
30,17.369177,6.173699
31,-2.288515,3.5630214
32,-19.946909,-16.038527
33,1.0539918,-23.36833
34,19.51645,5.747078
35,-21.007425,-14.495463
36,7.7950788,-21.928944
37,4.0532527,-22.261059
38,1.5425432,11.083434
39,-6.5970244,-0.1329472
40,-12.946028,-1.9944927
41,-9.481404,7.1860747
42,21.117855,7.2753477
43,-7.838502,5.708949
44,0.52458614,-29.543745
45,-15.555952,-5.209712
46,57.741734,44.08944
47,40.850925,60.895
48,-10.39677,-2.9637682
49,0.9521847,10.706728
50,19.867903,8.403858
51,-8.989673,-0.84900594
52,54.36865,25.646303
53,-11.295949,6.6479874
54,-9.829073,3.7859683
55,-0.58528394,-21.391941
56,-11.087522,3.8911889
57,18.117683,8.743401
58,-5.635574,-9.907142
59,-22.690287,-16.671026
60,-2.5768347,21.883593
61,-6.8933086,10.983758
62,-10.417464,3.058206
63,-23.83568,-15.615198
64,27.576546,7.0063777
65,-8.176224,1.2066159
66,14.981242,32.874958
67,-15.685089,7.910467
68,-14.275874,5.429828
69,28.326971,4.0700274
70,19.35414,7.3697886
71,22.733753,71.17089
72,0.9299353,-25.54262
73,17.337502,10.269755
74,42.01271,42.01642
75,0.9322144,-19.208553
76,-9.88467,4.3433733
77,1.4532087,-21.643566
78,18.985315,8.261874
79,-13.15488,7.3445306
80,-6.5870767,-9.8847
81,-20.626911,0.87173444
82,-8.848876,9.225185
83,-14.158955,3.3319016
84,3.114684,-26.487467
85,-11.262646,8.82342
86,-12.35373,3.0820408
87,3.4910595,-23.447485
88,70.08574,26.131199
89,1.5453874,72.2974
90,-15.337777,-0.4708373
91,27.947554,6.142795
92,3.0132043,-21.900778
93,-8.01699,2.8624947
94,-20.861744,0.8098546
95,-22.025099,-15.81239
96,2.9772272,-0.9413847
97,-16.175777,16.62682
98,-24.458555,-19.630552
99,-5.540314,-9.0120325
100,3.812047,-18.46503
101,2.7293794,-20.378633
102,0.650676,-29.243296
103,-10.057701,0.7000268
104,-5.6958055,-10.913394
105,-9.539573,2.204342
106,6.3008523,-19.568815
107,6.3817797,-24.098988
108,-12.419648,4.942926
109,-25.113865,-19.500275
110,-5.8102016,5.8853774
111,-4.906043,3.813379
112,4.166039,-24.753054
113,19.138649,9.305156
114,-10.800228,5.1608524
115,-16.74911,4.9109836
116,21.124434,9.468481
117,-8.607807,4.3296666
118,-11.346533,1.8747485
119,-24.07157,-20.161444
120,-4.4319777,-1.589214
121,-13.621978,10.260008
122,59.317425,6.0342064
123,-13.422212,1.2321551
124,9.600155,-25.926584
125,19.478474,10.931506
126,-3.9452941,1.2020088
127,-10.41615,11.523239
128,-3.719137,22.621584
129,14.089621,33.722626
130,35.651817,-19.18094
131,-17.233541,18.676273
132,3.632952,-1.1910589
133,30.560469,8.159328
134,-20.5898,8.286075
135,-19.084652,69.77695
136,31.0674,8.542547
137,4.5727515,-1.5509534
138,-20.370121,8.193221
139,14.535913,33.2924
140,28.434786,3.5179434
141,9.888167,-26.07325
142,-16.949339,18.127628
143,2.6492565,11.785392
144,-9.12344,56.692078
145,-2.954602,23.609032
146,3.3663142,11.456169
147,-16.488565,17.240324
148,-2.7677438,22.838804
149,10.349272,58.48133
150,-30.994188,53.79516
151,2.6567729,12.5709305
152,51.032448,-38.191547
153,68.352295,-21.937923
154,-15.686682,-5.418081
155,0.3211849,24.165976
156,6.0800195,-2.140344
157,-0.25914574,23.89493
158,5.500359,-1.9118314
159,-1.1452873,23.489187
160,56.416748,-13.361792
161,35.651295,-19.180725
